,Unnamed: 0,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
109,109,114,"{('popularity', 'popularity_1'), ('mode', 1), ((('mode', 1),)",1,1,20332,70774,0.15028,0.7391304347826086,1.0443530601387638,0.1110765217391304,1.1203299957054011,"(('popularity', 'popularity_1'),)","(('mode', 1),)","['popularity,popularity_1', 'mode,1']"
110,110,115,"{('popularity', 'popularity_2'), ('mode', 1), ((('mode', 1),)",1,1,19481,70774,0.14136,0.7256301011241723,1.0252777872158876,0.102575071094913,1.0652043104300757,"(('popularity', 'popularity_2'),)","(('mode', 1),)","['mode,1', 'popularity,popularity_2']"
113,113,118,"{('speechiness', 'speechiness_0'), ('mode', 1), ((('mode', 1),)",1,1,20232,70774,0.15898,0.7857848952155002,1.1102733987276403,0.1249240826413602,1.3643295552369368,"(('speechiness', 'speechiness_0'),)","(('mode', 1),)","['mode,1', 'speechiness,speechiness_0']"
114,114,119,"{('speechiness', 'speechiness_1'), ('mode', 1), ((('mode', 1),)",1,1,19706,70774,0.14251,0.7231807571298082,1.0218169908862127,0.1030604896985689,1.0557792005856672,"(('speechiness', 'speechiness_1'),)","(('mode', 1),)","['mode,1', 'speechiness,speechiness_1']"
118,118,123,"{('tempo', 'tempo_0'), ('mode', 1), ((('mode', 1),)",1,1,19959,70774,0.14128,0.7078510947442257,1.0001569711253082,0.1000052026654642,1.000380264111372,"(('tempo', 'tempo_0'),)","(('mode', 1),)","['mode,1', 'tempo,tempo_0']"
120,120,125,"{('tempo', 'tempo_2'), ('mode', 1), ((('mode', 1),)",1,1,19962,70774,0.1419,0.7108506161707244,1.0043951396992177,0.1008697024346258,1.010757813552192,"(('tempo', 'tempo_2'),)","(('mode', 1),)","['mode,1', 'tempo,tempo_2']"
122,122,127,"{('tempo', 'tempo_4'), ('mode', 1), ((('mode', 1),)",1,1,20019,70774,0.14421,0.7203656526300015,1.017839393887588,0.1038839307657725,1.0451505750405734,"(('tempo', 'tempo_4'),)","(('mode', 1),)","['mode,1', 'tempo,tempo_4']"
124,124,129,"{('valence', 'valence_1'), ('mode', 1), ((('mode', 1),)",1,1,20200,70774,0.14376,0.7116831683168316,1.0055714928036166,0.1023115722772277,1.0136765074731684,"(('valence', 'valence_1'),)","(('mode', 1),)","['mode,1', 'valence,valence_1']"
127,127,132,"{('valence', 'valence_4'), ('mode', 1), ((('mode', 1),)",1,1,19930,70774,0.1455,0.7300551931761164,1.0315302133214406,0.1062230306071249,1.0826657580710912,"(('valence', 'valence_4'),)","(('mode', 1),)","['mode,1', 'valence,valence_4']"
129,129,134,"{('year', 'year_1'), ('mode', 1), ((('mode', 1),)",1,1,19914,70774,0.14694,0.7378728532690569,1.0425761625301055,0.1084230370593552,1.114955099194786,"(('year', 'year_1'),)","(('mode', 1),)","['mode,1', 'year,year_1']"
