,rule_id,rule,len_l,len_r,count_lhs,count_rhs,support,confidence,lift,rpf,conviction,lhs,rhs,itemset
763,1575,"{('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_2'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_2'),)",2,1,19560,19740,0.1929,0.9861963190184049,4.995928667773074,0.19023726993865028,58.14390689890795,"(('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_2'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'),)","['CANCELLATION_REASON,4', 'WHEELS_ON,WHEELS_ON_2', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
767,1585,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('DIVERTED', 0.0), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",2,1,19697,98425,0.19697,1.0,1.016002032004064,0.19697,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('DIVERTED', 0.0))","(('CANCELLED', 0.0),)","['DIVERTED,0.0', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
771,1603,"{('CANCELLED', 0.0), ('WHEELS_ON', 'WHEELS_ON_2'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_2'),)",2,1,19560,19740,0.1929,0.9861963190184049,4.995928667773074,0.19023726993865028,58.14390689890795,"(('CANCELLED', 0.0), ('WHEELS_ON', 'WHEELS_ON_2'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'),)","['WHEELS_ON,WHEELS_ON_2', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
781,1652,"{('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_2'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_2'),)",2,1,19517,19740,0.19247,0.9861659066454885,4.995774603067318,0.18980735205205718,58.01608543592609,"(('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_2'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'),)","['DIVERTED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_2', 'WHEELS_ON,WHEELS_ON_2']"
782,1653,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('WHEELS_ON', 'WHEELS_ON_2'), ('DIVERTED', 0.0), ((('DIVERTED', 0.0),)",2,1,19290,99711,0.19247,0.9977708657335407,1.0006627811711253,0.1920409585277346,1.2964668602593694,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('WHEELS_ON', 'WHEELS_ON_2'))","(('DIVERTED', 0.0),)","['WHEELS_ON,WHEELS_ON_2', 'DIVERTED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
783,1654,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('DIVERTED', 0.0), ('WHEELS_ON', 'WHEELS_ON_2'), ((('WHEELS_ON', 'WHEELS_ON_2'),)",2,1,19697,19560,0.19247,0.9771538813017211,4.995674239783851,0.18807280753414227,35.20948023661974,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_2'), ('DIVERTED', 0.0))","(('WHEELS_ON', 'WHEELS_ON_2'),)","['DIVERTED,0.0', 'WHEELS_ON,WHEELS_ON_2', 'ARRIVAL_TIME,ARRIVAL_TIME_2']"
792,1693,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ('CANCELLED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19745,98425,0.19745,1.0,1.016002032004064,0.19745,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ('CANCELLED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_3']"
794,1701,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ('DIVERTED', 0.0), ('CANCELLATION_REASON', 4), ((('CANCELLATION_REASON', 4),)",2,1,19697,98425,0.19697,1.0,1.016002032004064,0.19697,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ('DIVERTED', 0.0))","(('CANCELLATION_REASON', 4),)","['CANCELLATION_REASON,4', 'DIVERTED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_3']"
801,1719,"{('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_3'), ('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ((('ARRIVAL_TIME', 'ARRIVAL_TIME_3'),)",2,1,19887,19745,0.19464,0.9787298235027908,4.956848941518312,0.1904999728465832,37.73123191404024,"(('CANCELLATION_REASON', 4), ('WHEELS_ON', 'WHEELS_ON_3'))","(('ARRIVAL_TIME', 'ARRIVAL_TIME_3'),)","['CANCELLATION_REASON,4', 'WHEELS_ON,WHEELS_ON_3', 'ARRIVAL_TIME,ARRIVAL_TIME_3']"
804,1729,"{('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ('DIVERTED', 0.0), ('CANCELLED', 0.0), ((('CANCELLED', 0.0),)",2,1,19697,98425,0.19697,1.0,1.016002032004064,0.19697,15750000.000000041,"(('ARRIVAL_TIME', 'ARRIVAL_TIME_3'), ('DIVERTED', 0.0))","(('CANCELLED', 0.0),)","['DIVERTED,0.0', 'CANCELLED,0.0', 'ARRIVAL_TIME,ARRIVAL_TIME_3']"
